"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",111.510723520919,91.3974847274924,113.332971432539,94.5102353377507,113.38110322474,96.8994929551805,113.091080247102,98.6857030015834,112.758404781538,100.056207127902,112.432855105102,101.124627430003,112.119640988659,101.955977925627,111.818453893813,102.592348679306,111.528939252601,103.065796278882,111.250415182279,103.403194203702,110.981429219601,103.62756827641,110.719799602228,103.758355120326,110.462888644806,103.811550442419,110.207881886271,103.799990967496,109.951985579063,103.733751276471
"2",91.3974847274924,102.022640335651,96.2329430435346,103.474420927626,98.06433978628,104.318760946725,98.8096663795891,104.879272324045,99.1465884977649,105.312864649559,99.3250245813326,105.688203577358,99.4469259236514,106.034570308991,99.5576252467865,106.364518006012,99.6782697045758,106.684152698697,99.8187102428662,106.997584392252,99.9832454059363,107.308591473314,100.173439400741,107.621041179381,100.389591415448,107.938846204493,100.631517395622,108.265814829856,100.89895882356,108.605529579389
"3",113.332971432539,96.2329430435346,116.495622843903,99.2609216011217,117.236974728078,101.625781051911,117.323410585619,103.421621731482,117.216273130899,104.820852848924,117.037215528223,105.92774726424,116.823825623319,106.801185461042,116.592193642973,107.47942067732,116.351582514247,107.992364036158,116.107661537433,108.365911979049,115.863450954892,108.622854270556,115.619987609036,108.782818543522,115.376948492287,108.862207983032,115.133168498852,108.874352238555,114.887016205843,108.829828585729
"4",94.5102353377507,103.474420927626,99.2609216011217,105.735145440575,101.046480011432,107.153345414062,101.762555727829,108.130941907197,102.08051975555,108.878423861161,102.249775609142,109.495900440324,102.372545515831,110.032634647019,102.493911166867,110.515210484454,102.634251611186,110.960199817868,102.802428569713,111.379699457219,103.001777011575,111.783601732689,103.233056715666,112.180437623597,103.495966459939,112.577664624404,103.789920065158,112.981783478211,104.114427416198,113.398429099298
"5",113.38110322474,98.06433978628,117.236974728078,101.046480011432,118.376774483983,103.396102055074,118.694755980171,105.197306712624,118.733572751015,106.614983740709,118.653330621775,107.747675778721,118.509733551626,108.650075464697,118.32836927207,109.357666199426,118.124291833129,109.898752005548,117.907158502097,110.298461105202,117.682907457347,110.579358032863,117.454743578446,110.761163113461,117.22394505426,110.860537320928,116.990514395766,110.89113756048,116.75366084556,110.863882229283
"6",96.8994929551805,104.318760946725,101.625781051911,107.153345414062,103.396102055074,109.047267746637,104.099782205629,110.409963381571,104.408549792214,111.471173809439,104.573726385194,112.345175922529,104.698906615913,113.092039276957,104.829688540913,113.747506213999,104.986354386854,114.336191242818,105.177357066331,114.877152466186,105.405531261978,115.386132565107,105.671172962959,115.876444144021,105.973612539046,116.359371122094,106.312007233726,116.844434819386,106.685716659069,117.339638934028
"7",113.091080247102,98.8096663795891,117.323410585619,101.762555727829,118.694755980171,104.099782205629,119.153340609171,105.901144803255,119.283821964259,107.32747929823,119.267307930426,108.473863510719,119.169623211482,109.392316616719,119.021759341138,110.116499467324,118.842161523153,110.673626971152,118.642908837484,111.088277003268,118.431774246626,111.382816255888,118.213366112688,111.576976624115,117.990023678783,111.687542594358,117.762537890909,111.72834521873,117.530694351814,111.710491604615
"8",98.6857030015834,104.879272324045,103.421621731482,108.130941907197,105.197306712624,110.409963381571,105.901144803255,112.10764401313,106.208456614709,113.456604514711,106.373976348428,114.575520795642,106.503517881188,115.529221691611,106.643847046616,116.358811509906,106.815705440693,117.094607267716,107.027591385588,117.761240845057,107.282180984961,118.379526004454,107.579543301269,118.967151964555,107.918791901111,119.539045106819,108.298916035677,120.107688042158,108.719170137816,120.683460162948
"9",112.758404781538,99.1465884977649,117.216273130899,102.08051975555,118.733572751015,104.408549792214,119.283821964259,106.208456614709,119.475801945097,107.638702818896,119.503195446935,108.792218406247,119.437922844284,109.719353675215,119.314217742294,110.452640310475,119.152580236809,111.018622620394,118.966600056164,111.441536756266,118.765237155464,111.743618532645,118.554040202366,111.944592842804,118.33608160762,112.061303573076,118.112711977117,112.107672066001,117.884135893315,112.094905825067
"10",100.056207127902,105.312864649559,104.820852848924,108.878423861161,106.614983740709,111.471173809439,107.32747929823,113.456604514711,107.638702818896,115.062764694757,107.807588656054,116.407438421783,107.942705961553,117.556460587121,108.092459179587,118.553629251552,108.278470016107,119.43310615149,108.509626484577,120.223842849878,108.788700972583,120.950903858411,109.115707526167,121.63583388907,109.489648568163,122.29687997081,109.909403180773,122.949293263475,110.374146365044,123.605717745274
